HELLO|เฮลโล|สวัสดี
GOODBYE|กูดบาย|ลาก่อน
PLEASE|พลีส|กรุณา
THANKYOU|แธงก์ยู|ขอบคุณ
SORRY|ซอรี|ขอโทษ
YES|เยส|ใช่
NO|โน|ไม่ใช่
MAN|แมน|ผู้ชาย
WOMAN|วูแมน|ผู้หญิง
BOY|บอย|เด็กผู้ชาย
GIRL|เกิร์ล|เด็กผู้หญิง
CHILD|ไชลด์|เด็ก
FATHER|ฟาเธอร์|พ่อ
MOTHER|มาเธอร์|แม่
BROTHER|บราเธอร์|พี่ชาย/น้องชาย
SISTER|ซิสเตอร์|พี่สาว/น้องสาว
FAMILY|แฟมิลี|ครอบครัว
FRIEND|เฟรนด์|เพื่อน
LOVE|เลิฟ|ความรัก
HAPPY|แฮปปี|มีความสุข
SAD|แซด|เศร้า
ANGRY|แองกรี|โกรธ
TIRED|ไทเอิด|เหนื่อย
HUNGRY|ฮังกรึ|หิว
THIRSTY|เธิร์สที|กระหายน้ำ
DOG|ด็อก|สุนัข
CAT|แคต|แมว
FISH|ฟิช|ปลา
BIRD|เบิร์ด|นก
COW|คาว|วัว
PIG|พิก|หมู
HORSE|ฮอร์ส|ม้า
CHICKEN|ชิกเกน|ไก่
DUCK|ดัก|เป็ด
SHEEP|ชีพ|แกะ
APPLE|แอปเปิล|แอปเปิล
BANANA|บานานา|กล้วย
ORANGE|ออเรนจ์|ส้ม
MANGO|แมงโก|มะม่วง
GRAPE|เกรพ|องุ่น
RICE|ไรซ์|ข้าว
BREAD|เบรด|ขนมปัง
EGG|เอ็ก|ไข่
MEAT|มีต|เนื้อสัตว์
MILK|มิลค์|นม
WATER|วอเทอร์|น้ำ
JUICE|จูซ|น้ำผลไม้
COFFEE|คอฟฟี|กาแฟ
TEA|ที|ชา
SUGAR|ชูการ์|น้ำตาล
HOUSE|เฮาส์|บ้าน
ROOM|รูม|ห้อง
DOOR|ดอร์|ประตู
WINDOW|วินโดว์|หน้าต่าง
TABLE|เทเบิล|โต๊ะ
CHAIR|แชร์|เก้าอี้
BED|เบด|เตียง
BOOK|บุ๊ก|หนังสือ
PEN|เพน|ปากกา
PENCIL|เพนซิล|ดินสอ
SCHOOL|สคูล|โรงเรียน
TEACHER|ทีเชอร์|ครู
STUDENT|สตูเดนต์|นักเรียน
CLASS|คลาส|ชั้นเรียน
UNIVERSITY|ยูนิเวอร์ซิที|มหาวิทยาลัย
WORK|เวิร์ก|ทำงาน
JOB|จ็อบ|งาน
OFFICE|ออฟฟิศ|สำนักงาน
SHOP|ช็อป|ร้านค้า
MARKET|มาร์เก็ต|ตลาด
CAR|คาร์|รถยนต์
BUS|บัส|รถบัส
TRAIN|เทรน|รถไฟ
PLANE|เพลน|เครื่องบิน
BOAT|โบ๊ต|เรือ
ROAD|โรด|ถนน
BRIDGE|บริดจ์|สะพาน
CITY|ซิตี|เมือง
COUNTRY|คันทรี|ประเทศ
VILLAGE|วิลเลจ|หมู่บ้าน
SUN|ซัน|ดวงอาทิตย์
MOON|มูน|ดวงจันทร์
STAR|สตาร์|ดาว
SKY|สกาย|ท้องฟ้า
RAIN|เรน|ฝน
SNOW|สโนว์|หิมะ
WIND|วินด์|ลม
CLOUD|คลาวด์|เมฆ
TREE|ทรี|ต้นไม้
FLOWER|ฟลาวเวอร์|ดอกไม้
GRASS|กราส|หญ้า
RIVER|ริเวอร์|แม่น้ำ
LAKE|เลค|ทะเลสาบ
SEA|ซี|ทะเล
OCEAN|โอเชียน|มหาสมุทร
MOUNTAIN|เมาเทน|ภูเขา
FOREST|ฟอเรสต์|ป่า
ISLAND|ไอส์แลนด์|เกาะ
STONE|สโตน|หิน
SAND|แซนด์|ทราย
BIG|บิก|ใหญ่
SMALL|สมอล|เล็ก
LONG|ลอง|ยาว
SHORT|ชอร์ท|สั้น
FAST|ฟาสท์|เร็ว
SLOW|สโลว์|ช้า
HOT|ฮอต|ร้อน
COLD|โคลด์|หนาว
NEW|นิว|ใหม่
OLD|โอลด์|เก่า
GOOD|กูด|ดี
BAD|แบด|แย่
RIGHT|ไรท์|ขวา/ถูกต้อง
LEFT|เลฟท์|ซ้าย
HIGH|ไฮ|สูง
LOW|โลว์|ต่ำ
EASY|อีซี|ง่าย
HARD|ฮาร์ด|ยาก
NEAR|เนียร์|ใกล้
FAR|ฟาร์|ไกล
OPEN|โอเพน|เปิด
CLOSE|โคลส|ปิด
START|สตาร์ต|เริ่ม
STOP|สต็อป|หยุด
RUN|รัน|วิ่ง
WALK|วอล์ก|เดิน
JUMP|จัมพ์|กระโดด
SIT|ซิต|นั่ง
STAND|สแตนด์|ยืน
SLEEP|สลีป|นอน
WAKE|เวก|ตื่น
EAT|อีต|กิน
DRINK|ดริงก์|ดื่ม
READ|รีด|อ่าน
WRITE|ไรต์|เขียน
SING|ซิง|ร้องเพลง
DANCE|แดนซ์|เต้น
PLAY|เพลย์|เล่น
LOOK|ลุค|มอง
SEE|ซี|เห็น
HEAR|เฮียร์|ได้ยิน
SAY|เซย์|พูด
TALK|ทอล์ก|สนทนา
ASK|อาสก์|ถาม
ANSWER|แอนเซอร์|ตอบ
BUY|บาย|ซื้อ
SELL|เซลล์|ขาย
PAY|เพย์|จ่าย
MAKE|เมก|ทำ
USE|ยูส|ใช้
FIND|ไฟนด์|หา
LOSE|ลูส|แพ้/ทำหาย
WIN|วิน|ชนะ
HELP|เฮลป์|ช่วยเหลือ
CALL|คอล|โทร/เรียก
PHONE|โฟน|โทรศัพท์
PHOTO|โฟโต|รูปถ่าย
MUSIC|มิวซิก|ดนตรี
MOVIE|มูวี|ภาพยนตร์
GAME|เกม|เกม
SPORT|สปอร์ต|กีฬา
BALL|บอล|ลูกบอล
GOAL|โกล|ประตู
TEAM|ทีม|ทีม
PLAYER|เพลเยอร์|ผู้เล่น
DOCTOR|ด็อกเตอร์|หมอ
NURSE|เนิร์ส|พยาบาล
HOSPITAL|ฮอสพิทัล|โรงพยาบาล
MEDICINE|เมดิซิน|ยา
POLICE|โปลิซ|ตำรวจ
SOLDIER|โซลเจอร์|ทหาร
KING|คิง|กษัตริย์
QUEEN|ควีน|ราชินี
PRINCE|พรินซ์|เจ้าชาย
PRINCESS|พรินเซส|เจ้าหญิง
BOOKSTORE|บุ๊กสโตร์|ร้านหนังสือ
LIBRARY|ไลบรารี|ห้องสมุด
HOTEL|โฮเทล|โรงแรม
RESTAURANT|เรสเตอรองต์|ร้านอาหาร
PARK|พาร์ก|สวนสาธารณะ
GARDEN|การ์เดน|สวน
MARKET|มาร์เก็ต|ตลาด
